"sector_id","BS_made","BS_attempts","BS_percentage","BS_tendency","BS_points_per_shot","LBA_made","LBA_attempts","LBA_percentage","LBA_tendency","LBA_points_per_shot","AVV_made","AVV_attempts","AVV_percentage","AVV_tendency","AVV_points_per_shot","BS_totalShots","LBA_totalShots","AVV_totalShots","BS_LBA_perc","BS_LBA_attempts","Diff_percentage","Diff_tendency"
0,77,143,53.85,38.75,1.08,793,1314,60.35,38.14,1.21,158,244,64.75,35.67,1.29,369,3445,684,0,1,-6.5,0.61
1,2,4,50,1.08,1,29,89,32.58,2.58,0.65,6,21,28.57,3.07,0.57,369,3445,684,1,0,17.42,-1.5
2,12,29,41.38,7.86,0.83,92,256,35.94,7.43,0.72,19,62,30.65,9.06,0.61,369,3445,684,1,1,5.44,0.43
3,9,27,33.33,7.32,0.67,70,195,35.9,5.66,0.72,19,45,42.22,6.58,0.84,369,3445,684,0,1,-2.57,1.66
4,6,7,85.71,1.9,1.71,35,76,46.05,2.21,0.92,9,23,39.13,3.36,0.78,369,3445,684,1,0,39.66,-0.31
5,8,18,44.44,4.88,1.33,69,166,41.57,4.82,1.25,20,40,50,5.85,1.5,369,3445,684,1,1,2.87,0.06
6,33,81,40.74,21.95,1.22,233,634,36.75,18.4,1.1,49,113,43.36,16.52,1.3,369,3445,684,1,1,3.99,3.55
7,22,48,45.83,13.01,1.37,198,597,33.17,17.33,1,42,114,36.84,16.67,1.11,369,3445,684,1,0,12.66,-4.32
8,5,12,41.67,3.25,1.25,47,118,39.83,3.43,1.19,7,22,31.82,3.22,0.95,369,3445,684,1,0,1.84,-0.18
